Date,"Price, EUR"
2002,1700
2004-02,3250
2014-12,13200
2003-01,2500
2009-06,6500
2000,1499
1998,1590
1998,1600
1999,1600
1998,1850
2000-03,1880
1999-01,1950
2000-09,1990
2000-11,1999
1999-09,2050
2000-09,2100
2000-11,2250
2003-08,2300
2000-12,2350
1990-03,2499
2005,2500
1999-11,2900
2004-09,3000
2007-08,3050
2003-05,3100
2008-06,3200
2002-01,3300
2004-07,3650
2004,3700
2004-10,3750
2004-05,3800
2006-07,4100
2013,4100
2007-03,4200
2007-09,4300
2006-01,4400
2004-12,4500
2008,4500
2004-06,4500
2007-04,4600
2004-11,4600
2008-07,4800
2005-01,5000
2008-12,6100
2009-10,7450
2009-10,7500
2010-08,7650
2011,7700
2011,7800
2009,8900
2011-06,9000
2010,9500
2014,15350
1996-08,170
1990-10,180
1984,180
1988,190
1985,199
1995,200
1992,200
1992,200
1992,200
1994,220
1989-09,220
1987-12,230
1985,230
1995-04,250
1989-10,250
1995,250
1990,250
1986,250
1994-06,250
1992-03,260
1997-08,270
1993-02,280
1992-11,280
1993,290
1992-10,300
1987,300
1995-03,300
1997-06,300
1995-02,300
1993-10,300
1995-08,320
1993-05,325
1996-12,330
1993,350
1992-02,350
1993,350
1995-01,350
1992-06,350
1993,350
1986,350
1995-04,350
1994,370
1997-08,380
1995-02,390
1988,400
1994,400
1994,400
1995,400
1996-06,400
1993,420
1995-10,420
1996-03,430
1990-11,440
1993,450
1996-08,450
1994,450
1994-04,450
1993-06,460
1995-09,490
1994-10,500
1996-06,500
1993-06,500
1989-12,500
1997-10,510
1996-12,550
1996-06,550
1985-03,550
1998-02,550
1993-04,550
1997,550
1991-12,550
1989-12,550
1997-07,600
1994-12,600
1996-11,600
1996,600
1996,600
2000-12,640
1993-07,650
1996-04,650
1995-02,650
1996,650
1992,699
1996-01,699
1995-01,700
1994,700
1997-05,700
1996-10,700
1994-05,700
1996,700
1993-06,725
1997-06,750
1996-09,750
1999-04,750
1994,750
1992-10,750
1995-02,750
2000-10,750
1995-07,790
1994-05,800
1995-11,800
1997-11,850
1999-07,850
1993-04,850
1998-04,850
1990-07,850
1995-11,900
1996-02,927
1998-06,950
1996,950
1996,950
1997,950
1995-10,950
1998-04,950
1998,970
1999-08,999
1997-10,999
1996,999
1992,1000
1999-03,1000
1998-09,1000
1996-06,1000
1998-06,1000
1998-10,1000
1997-10,1000
1998-10,1000
1993,1000
1998,1000
1998-08,1050
1999-01,1050
1997,1050
1995-08,1050
2000-10,1099
1995-12,1099
1996-08,1099
1996-05,1100
1999-03,1100
1998-08,1100
1992-11,1100
1998,1100
1998-10,1100
1999-12,1120
1995,1122
2001-09,1150
1996-12,1150
1999-09,1150
1996-11,1150
1996,1150
1998-12,1190
1999-01,1200
1996-07,1200
1999-12,1200
1998-05,1200
2000-10,1250
1998-12,1290
1998-11,1290
2004-09,1299
1999-12,1300
1998-11,1300
1998-02,1300
1997-06,1300
1998,1300
1983,1300
1998-02,1300
1999-06,1300
1998-05,1300
2003,1300
1999-06,1300
1992-01,1300
2001-12,1300
2003-06,1300
1998-11,1350
2002-06,1350
2000-01,1350
1999-10,1350
1999-10,1350
1999,1350
1998-12,1380
1998-06,1399
1998-12,1399
1998-08,1400
1993-12,1400
1999-11,1400
1998-11,1400
2000-07,1400
1997,1400
2000-11,1400
1999,1400
1999-03,1440
1998,1440
1999-10,1449
1990-07,1449
1999,1449
1998,1450
1998-09,1450
2003-10,1450
1999-05,1450
2000-06,1450
2002-06,1450
1999-01,1450
1998-08,1450
1998-12,1490
1998-06,1499
1999-09,1499
2000,1499
1998,1500
2000-06,1500
2000-05,1500
1999-06,1500
1998-12,1500
1998-09,1500
1999-12,1500
2000-05,1500
1999-02,1500
1998,1500
1999-04,1500
2001-11,1500
2000-05,1500
2000-12,1500
1996-07,1500
1999-06,1500
1999-04,1500
1997-04,1500
1998,1500
2000-02,1500
1998-06,1500
2000-06,1500
2000,1550
2000-05,1550
1998-05,1550
2001-01,1580
2000,1590
1998-07,1590
1998-03,1599
2000-01,1599
2005-01,1599
1988,1600
2001-03,1600
1999,1600
1999-08,1600
2001-06,1600
1999-08,1600
2000-08,1600
1999-08,1600
2000-02,1650
1999-02,1650
2000-11,1650
1998,1650
1999-03,1650
1999-10,1650
1999-12,1650
1998,1650
2000-05,1650
2000-03,1650
1999-10,1650
1998-12,1650
1999-06,1650
1998-04,1650
2000,1650
2000-10,1680
2001-05,1690
1998-11,1699
1998-12,1700
1999-11,1700
2001,1700
1999-12,1700
2001-04,1700
2000-02,1700
1998-03,1750
2000-12,1750
1999-04,1750
2002,1750
1998-03,1750
2000,1750
2000,1750
2001-02,1750
1998-11,1780
1999-08,1799
1999-12,1799
1998-03,1800
2003,1800
1998-08,1800
2001-05,1800
2000-07,1800
1998-04,1800
2000,1800
1998-11,1800
1999-01,1800
2000-05,1800
1998-06,1850
1999-10,1850
1995-11,1850
1998-04,1850
1999-11,1850
1999-10,1850
1999-11,1850
2002-07,1850
2000-05,1850
2001,1890
2000-07,1890
1999-06,1899
2002,1900
2002-03,1900
2000-05,1900
2002-02,1900
2001-08,1950
2000-09,1950
1998-11,1950
1998,1950
2001-10,1950
2000-03,1950
2000-03,1950
1999-12,1950
1999-01,1950
2003,1980
1991-06,1999
1999,1999
2003-07,1999
1998-01,1999
2002-07,1999
1999-07,1999
2000-02,1999
1998-10,1999
1999-12,2000
1998-12,2000
2003-07,2000
1998-12,2000
2002-02,2000
2005-09,2000
2001-06,2000
1999-04,2000
2010-04,2000
2004-10,2040
2001-10,2050
2003-06,2100
2002,2100
2001-06,2100
2000-03,2100
2001-10,2100
1999-04,2100
2001-02,2100
2002-06,2150
2005-11,2150
2000,2150
2002-04,2150
2003-10,2150
2000-11,2150
2004-10,2190
2000-11,2200
2000-12,2200
2001-10,2200
2003-05,2200
2001-03,2200
2004-05,2200
2001-10,2200
2003-12,2200
2004,2200
2004-04,2200
2003-12,2200
2008-05,2200
2000,2222
2002-06,2250
2002-01,2255
2003-03,2300
2003-06,2300
2005-04,2350
2004-08,2350
2001-07,2350
2001,2350
2000-11,2350
2002,2350
1999-05,2350
2001-10,2350
2001,2350
2002-10,2400
2003-01,2400
2000-06,2400
2001-01,2400
2001,2400
2003,2400
2001-11,2400
2004-10,2400
2002-09,2440
2004-05,2450
2002-08,2450
2001,2450
2001-10,2490
2000-05,2499
2000-11,2499
2002-01,2499
2003-12,2500
2000-06,2500
2003,2550
2002-09,2550
2002-09,2550
2004-07,2590
2002-08,2600
2003-04,2600
2003-12,2600
1998,2600
2002-10,2650
2004-04,2650
2004-10,2650
2004-04,2650
2004-06,2650
2003,2650
2000,2650
2005-09,2700
2002-09,2700
2003-06,2700
2007-09,2750
1993-06,2799
2002-10,2800
1999-10,2800
2005-04,2850
2003-11,2850
2004-08,2850
1983,2900
2003-11,2900
2004,2950
2014-02,2999
2006-06,3000
2001-10,3000
2004-01,3100
2004-12,3150
2004-09,3150
2005-11,3150
2005-10,3200
2006-03,3200
2004,3200
2004-11,3250
2005-12,3350
2005-05,3400
2004-12,3400
2004-09,3499
2004-11,3499
2002-03,3500
2008-10,3500
2011-04,3500
2004-12,3500
2005-08,3550
2007,3550
2006,3550
2005,3600
2005-04,3600
2005-03,3600
2004-12,3650
2004-08,3670
2007-09,3700
2005-07,3700
2008-02,3700
2006-09,3700
2005-02,3750
2006-10,3750
2004-10,3750
2007-02,3750
2005-08,3800
2004-01,3800
2005-01,3800
2005-07,3800
2006-08,3800
2005-02,3800
2005-11,3850
2005-07,3850
2004-07,3899
2004-02,3900
2005-11,3900
2008-09,3900
2004-12,3900
2004,3900
2006-05,3950
2008-06,3950
2004-05,3950
2005-03,3999
2005-07,3999
2004,3999
2009-02,4000
2002-04,4000
2006-11,4000
2005-12,4100
2004-09,4100
2005-10,4100
2005-04,4120
2004,4150
2004-12,4150
2004-07,4150
2005-06,4150
2004-12,4199
2007,4200
2007,4200
2006-07,4200
2005-12,4200
2006-12,4250
2007-11,4250
2005-06,4300
2005-12,4300
2005-10,4300
2006-05,4350
2005-03,4350
2005-01,4350
2008-06,4400
2006-12,4400
2008-05,4400
2009-07,4400
2006,4450
2006-10,4499
2006-04,4499
2005-12,4499
2005-01,4500
2013-01,4500
2006-10,4500
2008-07,4500
2007-11,4500
2004,4500
2007-01,4500
2008-11,4500
2004-08,4500
2007-02,4500
2004-08,4530
2005-01,4600
2005-10,4600
2006-12,4600
2007,4650
2004-12,4650
2010-04,4650
2006-06,4700
2008-04,4700
2006-06,4700
2008-06,4750
2008,4750
2005-04,4799
2006-02,4800
2004-12,4800
2008,4800
2006-12,4850
2005-01,4850
2004,4850
2005-05,4890
2008-11,4899
2009-04,4900
2009-07,4900
2005-06,4900
2008-05,4950
2008-12,4950
2009-08,4950
2010-04,4999
2007-11,4999
2008,5000
2006-07,5000
2005-01,5000
2007-06,5050
2008-01,5100
2007-01,5100
2007-02,5150
2009-04,5150
2011-04,5200
2009-04,5200
2008-11,5200
2005-10,5200
2009-10,5200
2009-04,5300
2009-06,5300
2007-11,5350
2007-10,5399
